公司代码,公司简称,symbol,name,A股上市日期,A股总股本,A股流通股本,industry,currency,exchange
600169,太原重工,600169,太原重工,1998-09-04,242395.5,242395.5, ,CNY,SSE
600170,上海建工,600170,上海建工,1998-06-23,713185.71,690631.49, ,CNY,SSE
600171,上海贝岭,600171,上海贝岭,1998-09-24,67380.78,67380.78, ,CNY,SSE
600172,黄河旋风,600172,黄河旋风,1998-11-26,79239.89,64187.39, ,CNY,SSE
600173,卧龙地产,600173,卧龙地产,1999-04-15,72514.75,72505.75, ,CNY,SSE
600175,美都能源,600175,美都能源,1999-04-08,357648.88,144803.32, ,CNY,SSE
600176,中国巨石,600176,中国巨石,1999-04-22,243215.75,191978.49, ,CNY,SSE
600177,雅戈尔,600177,雅戈尔,1998-11-19,255817.67,222661.17, ,CNY,SSE
600178,东安动力,600178,东安动力,1998-10-14,46208,46208, ,CNY,SSE
600179,*ST黑化,600179,*ST黑化,1998-11-04,106212.85,39000, ,CNY,SSE
600180,瑞茂通,600180,瑞茂通,1998-07-03,101647.75,88254.89, ,CNY,SSE
600182,S佳通,600182,S佳通,1999-05-07,34000,17000, ,CNY,SSE
600183,生益科技,600183,生益科技,1998-10-28,143755.39,143755.39, ,CNY,SSE
600184,光电股份,600184,光电股份,2003-11-06,50876.08,41876.08, ,CNY,SSE
600185,格力地产,600185,格力地产,1999-06-11,206000,161752.21, ,CNY,SSE
600186,莲花健康,600186,莲花健康,1998-08-25,106202.43,106202.43, ,CNY,SSE
600187,国中水务,600187,国中水务,1998-11-11,145562.42,145562.42, ,CNY,SSE
600188,兖州煤业,600188,兖州煤业,1998-07-01,491201.6,491201.6, ,CNY,SSE
600189,吉林森工,600189,吉林森工,1998-10-07,31050,31050, ,CNY,SSE
600190,锦州港,600190,锦州港,1999-06-09,200229.15,156178.74, ,CNY,SSE
600191,华资实业,600191,华资实业,1998-12-10,48493.2,48493.2, ,CNY,SSE
600192,长城电工,600192,长城电工,1998-12-24,44174.8,44174.8, ,CNY,SSE
600193,创兴资源,600193,创兴资源,1999-05-27,42537.3,42537.3, ,CNY,SSE
600195,中牧股份,600195,中牧股份,1999-01-07,42980,42980, ,CNY,SSE
600196,复星医药,600196,复星医药,1998-08-07,231407.54,231012.1, ,CNY,SSE
600197,伊力特,600197,伊力特,1999-09-16,44100,44100, ,CNY,SSE
600198,大唐电信,600198,大唐电信,1998-10-21,88210.85,83942.25, ,CNY,SSE
600199,金种子酒,600199,金种子酒,1998-08-12,55577.5,55577.5, ,CNY,SSE
600200,江苏吴中,600200,江苏吴中,1999-04-01,72189.2,56501.53, ,CNY,SSE
600201,生物股份,600201,生物股份,1999-01-15,61315.24,56894.35, ,CNY,SSE
600202,哈空调,600202,哈空调,1999-06-03,38334.07,38334.07, ,CNY,SSE
600203,福日电子,600203,福日电子,1999-05-14,45644.71,30317.08, ,CNY,SSE
600206,有研新材,600206,有研新材,1999-03-19,83877.83,70783.31, ,CNY,SSE
600207,安彩高科,600207,安彩高科,1999-07-14,86295.6,69000, ,CNY,SSE
600208,新湖中宝,600208,新湖中宝,1999-06-23,859934.35,763663.35, ,CNY,SSE
600209,罗顿发展,600209,罗顿发展,1999-03-25,43901.12,42634.5, ,CNY,SSE
600210,紫江企业,600210,紫江企业,1999-08-24,151673.62,143673.62, ,CNY,SSE
600211,西藏药业,600211,西藏药业,1999-07-21,14558.9,11410.9, ,CNY,SSE
600212,*ST江泉,600212,*ST江泉,1999-08-17,51169.72,51169.72, ,CNY,SSE
600213,亚星客车,600213,亚星客车,1999-08-31,22000,22000, ,CNY,SSE
600215,长春经开,600215,长春经开,1999-09-09,46503.29,46503.29, ,CNY,SSE
600216,浙江医药,600216,浙江医药,1999-10-21,96284.8,93610.37, ,CNY,SSE
600217,中再资环,600217,中再资环,1999-12-16,134158.75,69198.27, ,CNY,SSE
600218,全柴动力,600218,全柴动力,1998-12-03,36875.5,36875.5, ,CNY,SSE
600219,南山铝业,600219,南山铝业,1999-12-23,708796.09,708796.09, ,CNY,SSE
600220,江苏阳光,600220,江苏阳光,1999-09-27,178334.03,178334.03, ,CNY,SSE
600221,海南航空,600221,海南航空,1999-11-25,1680612.03,1218151.06, ,CNY,SSE
600222,太龙药业,600222,太龙药业,1999-11-05,57388.63,51856.51, ,CNY,SSE
600223,鲁商置业,600223,鲁商置业,2000-01-13,100096.8,100096.8, ,CNY,SSE
600225,天津松江,600225,天津松江,2000-01-27,93549.26,84982.56, ,CNY,SSE
600226,升华拜克,600226,升华拜克,1999-11-16,109498.3,109498.3, ,CNY,SSE
600227,赤天化,600227,赤天化,2000-02-21,173631.91,95039.25, ,CNY,SSE
600228,昌九生化,600228,昌九生化,1999-01-19,24132,24132, ,CNY,SSE
600229,城市传媒,600229,城市传媒,2000-03-09,70209.6,42977.21, ,CNY,SSE
600230,*ST沧大,600230,*ST沧大,2000-04-06,29418.82,29418.82, ,CNY,SSE
600231,凌钢股份,600231,凌钢股份,2000-05-11,251916.61,160800.44, ,CNY,SSE
600232,金鹰股份,600232,金鹰股份,2000-06-02,36471.85,36471.85, ,CNY,SSE
600233,圆通速递,600233,圆通速递,2000-06-08,282122.96,33000, ,CNY,SSE
600234,*ST山水,600234,*ST山水,2000-06-15,20244.59,20244.59, ,CNY,SSE
600235,民丰特纸,600235,民丰特纸,2000-06-15,35130,35130, ,CNY,SSE
600236,桂冠电力,600236,桂冠电力,2000-03-23,606336.75,112852.68, ,CNY,SSE
600237,铜峰电子,600237,铜峰电子,2000-06-09,56436.96,56436.96, ,CNY,SSE
600238,海南椰岛,600238,海南椰岛,2000-01-20,44820,44500.16, ,CNY,SSE
600239,云南城投,600239,云南城投,1999-12-02,107045.79,107045.79, ,CNY,SSE
600240,华业资本,600240,华业资本,2000-06-28,142425.36,142425.36, ,CNY,SSE
600241,时代万恒,600241,时代万恒,2000-11-28,22619.21,19295.91, ,CNY,SSE
600242,中昌海运,600242,中昌海运,2000-12-07,41801.13,26730.28, ,CNY,SSE
600243,青海华鼎,600243,青海华鼎,2000-11-20,43885,23685, ,CNY,SSE
600246,万通地产,600246,万通地产,2000-09-22,205400.93,121680, ,CNY,SSE
600247,ST成城,600247,ST成城,2000-11-23,33644.16,33644.16, ,CNY,SSE
600248,延长化建,600248,延长化建,2000-06-22,61579.6,60760.6, ,CNY,SSE
600249,两面针,600249,两面针,2004-01-30,55000,45000, ,CNY,SSE
600250,南纺股份,600250,南纺股份,2001-03-06,25869.25,25869.25, ,CNY,SSE
600251,冠农股份,600251,冠农股份,2003-06-09,78484.2,78484.2, ,CNY,SSE
600252,中恒集团,600252,中恒集团,2000-11-30,347510.71,343009.66, ,CNY,SSE
600255,鑫科材料,600255,鑫科材料,2000-11-22,176959.36,176959.36, ,CNY,SSE
600256,广汇能源,600256,广汇能源,2000-05-26,522142.47,522142.47, ,CNY,SSE
600257,大湖股份,600257,大湖股份,2000-06-12,48123.72,42705, ,CNY,SSE
600258,首旅酒店,600258,首旅酒店,2000-06-01,23140,23140, ,CNY,SSE
600259,广晟有色,600259,广晟有色,2000-05-25,26212.26,25830.59, ,CNY,SSE
600260,凯乐科技,600260,凯乐科技,2000-07-06,66674.76,53252.71, ,CNY,SSE
600261,阳光照明,600261,阳光照明,2000-07-20,145210.29,145210.29, ,CNY,SSE
600262,北方股份,600262,北方股份,2000-06-30,17000,17000, ,CNY,SSE
600265,*ST景谷,600265,*ST景谷,2000-08-25,12980,12980, ,CNY,SSE
600266,北京城建,600266,北京城建,1999-02-03,156704,151704, ,CNY,SSE
600267,海正药业,600267,海正药业,2000-07-25,96553.18,96553.18, ,CNY,SSE
600268,国电南自,600268,国电南自,1999-11-18,63524.64,63524.64, ,CNY,SSE
600269,赣粤高速,600269,赣粤高速,2000-05-18,233540.7,233540.7, ,CNY,SSE
600270,外运发展,600270,外运发展,2000-12-28,90548.17,90548.17, ,CNY,SSE
600271,航天信息,600271,航天信息,2003-07-11,184681.1,184681.1, ,CNY,SSE
600272,开开实业,600272,开开实业,1997-01-08,24300,24000, ,CNY,SSE
600273,嘉化能源,600273,嘉化能源,2003-06-27,130628.53,57999.84, ,CNY,SSE
600275,武昌鱼,600275,武昌鱼,2000-08-10,50883.72,50883.72, ,CNY,SSE
