買賣單位,symbol,name,currency,exchange,industry,買賣單位
"2,000",00232,中國航空工業國際,HKD,HKEX, ,"2,000"
"10,000",00233,銘源醫療,HKD,HKEX, ,"10,000"
"8,000",00234,新世紀集團,HKD,HKEX, ,"8,000"
"5,000",00235,中策集團,HKD,HKEX, ,"5,000"
"2,000",00236,香港生力啤,HKD,HKEX, ,"2,000"
"2,000",00237,安全貨倉,HKD,HKEX, ,"2,000"
"1,000",00238,長興國際,HKD,HKEX, ,"1,000"
"2,500",00239,白花油,HKD,HKEX, ,"2,500"
"10,000",00240,利基控股,HKD,HKEX, ,"10,000"
"2,000",00241,阿里健康,HKD,HKEX, ,"2,000"
"2,000",00242,信德集團,HKD,HKEX, ,"2,000"
"9,000",00243,QPL INT'L,HKD,HKEX, ,"9,000"
"1,000",00244,先施,HKD,HKEX, ,"1,000"
"10,000",00245,中國民生金融,HKD,HKEX, ,"10,000"
500,00246,瑞金礦業,HKD,HKEX, ,500
"2,000",00247,TST PROPERTIES,HKD,HKEX, ,"2,000"
"4,000",00248,香港通訊國際控股,HKD,HKEX, ,"4,000"
"10,000",00250,中國數碼信息,HKD,HKEX, ,"10,000"
"2,000",00251,爪哇控股,HKD,HKEX, ,"2,000"
"2,000",00252,華信地產財務,HKD,HKEX, ,"2,000"
"2,000",00253,順豪控股,HKD,HKEX, ,"2,000"
"10,000",00254,國家聯合資源,HKD,HKEX, ,"10,000"
"2,000",00255,龍記集團,HKD,HKEX, ,"2,000"
"2,000",00256,冠城鐘錶珠寶,HKD,HKEX, ,"2,000"
"1,000",00257,中國光大國際,HKD,HKEX, ,"1,000"
"2,000",00258,湯臣集團,HKD,HKEX, ,"2,000"
"2,000",00259,億都（國際控股）,HKD,HKEX, ,"2,000"
"10,000",00260,幸福控股,HKD,HKEX, ,"10,000"
"80,000",00261,中建置地,HKD,HKEX, ,"80,000"
"5,000",00262,迪臣發展國際,HKD,HKEX, ,"5,000"
"4,000",00263,高富集團控股,HKD,HKEX, ,"4,000"
"4,000",00264,中璽國際,HKD,HKEX, ,"4,000"
"10,000",00265,東勝中國,HKD,HKEX, ,"10,000"
"2,000",00266,天德地產,HKD,HKEX, ,"2,000"
"1,000",00267,中信股份,HKD,HKEX, ,"1,000"
"2,000",00268,金蝶國際,HKD,HKEX, ,"2,000"
"5,000",00269,中國資源交通,HKD,HKEX, ,"5,000"
"2,000",00270,粵海投資,HKD,HKEX, ,"2,000"
"1,000",00271,丹楓控股,HKD,HKEX, ,"1,000"
500,00272,瑞安房地產,HKD,HKEX, ,500
"20,000",00273,民信金控,HKD,HKEX, ,"20,000"
"40,000",00274,中富資源,HKD,HKEX, ,"40,000"
"10,000",00275,凱華集團,HKD,HKEX, ,"10,000"
"3,000",00276,蒙古能源,HKD,HKEX, ,"3,000"
"2,000",00277,太興置業,HKD,HKEX, ,"2,000"
"2,000",00278,華廈置業,HKD,HKEX, ,"2,000"
"20,000",00279,民眾金融科技,HKD,HKEX, ,"20,000"
"2,000",00280,景福集團,HKD,HKEX, ,"2,000"
"2,000",00281,川河集團,HKD,HKEX, ,"2,000"
"2,000",00282,壹傳媒,HKD,HKEX, ,"2,000"
"2,000",00283,高銀地產,HKD,HKEX, ,"2,000"
500,00285,比亞迪電子,HKD,HKEX, ,500
"2,000",00286,同佳健康,HKD,HKEX, ,"2,000"
"2,000",00287,永發置業,HKD,HKEX, ,"2,000"
500,00288,萬洲國際,HKD,HKEX, ,500
"1,000",00289,WING ON CO,HKD,HKEX, ,"1,000"
"2,000",00290,中國富強金融,HKD,HKEX, ,"2,000"
"2,000",00291,華潤啤酒,HKD,HKEX, ,"2,000"
"10,000",00292,泛海酒店,HKD,HKEX, ,"10,000"
"1,000",00293,國泰航空,HKD,HKEX, ,"1,000"
"1,000",00294,長江製衣,HKD,HKEX, ,"1,000"
"25,000",00295,江山控股,HKD,HKEX, ,"25,000"
"5,000",00296,英皇娛樂酒店,HKD,HKEX, ,"5,000"
"2,000",00297,中化化肥,HKD,HKEX, ,"2,000"
"10,000",00298,莊士中國,HKD,HKEX, ,"10,000"
"10,000",00299,新體育,HKD,HKEX, ,"10,000"
"2,000",00300,昆明機床,HKD,HKEX, ,"2,000"
100,00303,VTECH HOLDINGS,HKD,HKEX, ,100
"10,000",00305,五菱汽車,HKD,HKEX, ,"10,000"
"2,000",00306,冠忠巴士集團,HKD,HKEX, ,"2,000"
"2,000",00307,優派能源發展,HKD,HKEX, ,"2,000"
"2,000",00308,香港中旅,HKD,HKEX, ,"2,000"
"1,000",00309,新華通訊頻媒,HKD,HKEX, ,"1,000"
"1,000",00311,聯泰控股,HKD,HKEX, ,"1,000"
"2,000",00312,歲寶百貨,HKD,HKEX, ,"2,000"
"50,000",00313,裕田中國,HKD,HKEX, ,"50,000"
500,00315,數碼通電訊,HKD,HKEX, ,500
500,00316,東方海外國際,HKD,HKEX, ,500
"2,000",00317,中船防務,HKD,HKEX, ,"2,000"
"5,000",00318,黃河實業,HKD,HKEX, ,"5,000"
"2,000",00319,勤美達國際,HKD,HKEX, ,"2,000"
"2,000",00320,金寶通,HKD,HKEX, ,"2,000"
"2,000",00321,德永佳集團,HKD,HKEX, ,"2,000"
"2,000",00322,康師傅控股,HKD,HKEX, ,"2,000"
"2,000",00323,馬鞍山鋼鐵股份,HKD,HKEX, ,"2,000"
"10,000",00326,中國星集團,HKD,HKEX, ,"10,000"
"1,000",00327,百富環球,HKD,HKEX, ,"1,000"
"2,000",00328,ALCO HOLDINGS,HKD,HKEX, ,"2,000"
"4,000",00329,叁龍國際,HKD,HKEX, ,"4,000"
100,00330,思捷環球,HKD,HKEX, ,100
"1,000",00331,豐盛機電,HKD,HKEX, ,"1,000"
"4,000",00332,元亨燃氣,HKD,HKEX, ,"4,000"
"2,000",00333,黛麗斯國際,HKD,HKEX, ,"2,000"
"8,000",00334,ＴＣＬ顯示科技,HKD,HKEX, ,"8,000"
"2,000",00335,美建集團,HKD,HKEX, ,"2,000"
"1,000",00336,華寶國際,HKD,HKEX, ,"1,000"
"1,000",00337,綠地香港,HKD,HKEX, ,"1,000"
"2,000",00338,上海石油化工股份,HKD,HKEX, ,"2,000"
"2,000",00340,中國礦業,HKD,HKEX, ,"2,000"
"2,000",00341,大家樂集團,HKD,HKEX, ,"2,000"
"2,000",00342,新海能源,HKD,HKEX, ,"2,000"
"5,000",00343,文化傳信,HKD,HKEX, ,"5,000"
"2,000",00345,VITASOY INT'L,HKD,HKEX, ,"2,000"
"10,000",00346,延長石油國際,HKD,HKEX, ,"10,000"
"2,000",00347,鞍鋼股份,HKD,HKEX, ,"2,000"
"2,000",00348,中國智能健康,HKD,HKEX, ,"2,000"
"10,000",00351,亞洲能源物流,HKD,HKEX, ,"10,000"
"2,000",00352,富陽,HKD,HKEX, ,"2,000"
"20,000",00353,能源國際投資,HKD,HKEX, ,"20,000"
"2,000",00354,中國軟件國際,HKD,HKEX, ,"2,000"
"4,000",00355,世紀城市國際,HKD,HKEX, ,"4,000"
"1,000",00357,航基股份,HKD,HKEX, ,"1,000"
"1,000",00358,江西銅業股份,HKD,HKEX, ,"1,000"
"4,000",00359,海升果汁,HKD,HKEX, ,"4,000"
"4,000",00360,新焦點,HKD,HKEX, ,"4,000"
"20,000",00361,順龍控股,HKD,HKEX, ,"20,000"
"10,000",00362,中國天化工,HKD,HKEX, ,"10,000"
"1,000",00363,上海實業控股,HKD,HKEX, ,"1,000"
"4,000",00364,坪山茶業,HKD,HKEX, ,"4,000"
"2,000",00365,紫光控股,HKD,HKEX, ,"2,000"
"2,000",00366,陸氏集團（越南）,HKD,HKEX, ,"2,000"
"4,000",00367,莊士機構國際,HKD,HKEX, ,"4,000"
500,00368,中外運航運,HKD,HKEX, ,500
"2,000",00369,永泰地產,HKD,HKEX, ,"2,000"
"20,000",00370,國華,HKD,HKEX, ,"20,000"
"2,000",00371,北控水務集團,HKD,HKEX, ,"2,000"
"2,000",00372,德祥企業,HKD,HKEX, ,"2,000"
"2,000",00373,聯合集團,HKD,HKEX, ,"2,000"
"2,000",00374,四洲集團,HKD,HKEX, ,"2,000"
"1,000",00375,YGM TRADING,HKD,HKEX, ,"1,000"
"2,000",00376,雲鋒金融,HKD,HKEX, ,"2,000"
"4,000",00377,華君控股,HKD,HKEX, ,"4,000"
"2,000",00378,五龍動力,HKD,HKEX, ,"2,000"
"10,000",00379,恒嘉融資租賃,HKD,HKEX, ,"10,000"
"4,000",00380,冠力國際,HKD,HKEX, ,"4,000"
"10,000",00381,僑雄國際,HKD,HKEX, ,"10,000"
"2,000",00382,威靈控股,HKD,HKEX, ,"2,000"
"10,000",00383,中國醫療網絡,HKD,HKEX, ,"10,000"
"2,000",00384,中國燃氣,HKD,HKEX, ,"2,000"
"2,000",00385,建聯集團,HKD,HKEX, ,"2,000"
"2,000",00386,中國石油化工股份,HKD,HKEX, ,"2,000"
"4,000",00387,力豐（集團）,HKD,HKEX, ,"4,000"
100,00388,香港交易所,HKD,HKEX, ,100
"2,000",00389,通天酒業,HKD,HKEX, ,"2,000"
"1,000",00390,中國中鐵,HKD,HKEX, ,"1,000"
"20,000",00391,美亞娛樂資訊,HKD,HKEX, ,"20,000"
500,00392,北京控股,HKD,HKEX, ,500
"4,000",00393,旭日企業,HKD,HKEX, ,"4,000"
"8,000",00395,中國智能集團,HKD,HKEX, ,"8,000"
"2,000",00396,興利（香港）控股,HKD,HKEX, ,"2,000"
"10,000",00397,君陽金融,HKD,HKEX, ,"10,000"
"2,000",00398,東方表行集團,HKD,HKEX, ,"2,000"
"5,000",00399,領航醫藥生物科技,HKD,HKEX, ,"5,000"
"1,000",00400,科通芯城,HKD,HKEX, ,"1,000"
